date,actual,predicted
2005-08-11,1069544.0,1.0207521e+06
2005-08-12,1114158.0,1.0766586e+06
2005-08-13,1093685.0,986404.94
2005-08-14,1065196.0,966076.9
2005-08-15,1019633.0,1.0754969e+06
2005-08-16,902820.0,1.049759e+06
2005-08-17,925896.0,902919.3
2005-08-18,922340.0,902799.94
2005-08-19,879480.0,934923.1
2005-08-20,875437.0,842508.3
2005-08-21,965090.0,815607.06
2005-08-22,951692.0,998975.3
2005-08-23,873698.0,917938.6
2005-08-24,852254.0,863067.4
2005-08-25,832072.0,877439.9
2005-08-26,832715.0,837862.75
2005-08-27,770276.0,767172.2
2005-08-28,811465.0,755573.1
2005-08-29,960873.0,933712.06
2005-08-30,996192.0,931256.2
2005-08-31,1043338.0,970092.25
2005-09-01,927160.0,957060.2
2005-09-02,912568.0,861053.25
2005-09-03,774799.0,866440.25
2005-09-04,714148.0,762912.4
2005-09-05,731328.0,772718.44
2005-09-06,815061.0,806824.56
2005-09-07,813739.0,835361.2
2005-09-08,837115.0,824990.7
2005-09-09,822939.0,828756.4
2005-09-10,746510.0,745465.4
2005-09-11,711568.0,732271.5
2005-09-12,853582.0,792649.06
2005-09-13,913676.0,850611.6
2005-09-14,920592.0,887486.44
2005-09-15,989505.0,909866.2
2005-09-16,989102.0,923017.7
2005-09-17,892090.0,859413.8
2005-09-18,786759.0,883885.7
2005-09-19,876059.0,848097.1
2005-09-20,898712.0,871837.4
2005-09-21,853023.0,869813.8
2005-09-22,843932.0,859850.75
2005-09-23,903595.0,835783.4
2005-09-24,711305.0,844655.8
2005-09-25,672583.0,684440.0
2005-09-26,815187.0,756821.6
2005-09-27,785917.0,827502.6
2005-09-28,738272.0,792795.56
2005-09-29,743746.0,801645.2
2005-09-30,691343.0,775903.7
2005-10-01,631431.0,674139.56
2005-10-02,631623.0,605929.75
2005-10-03,735058.0,721992.75
2005-10-04,760778.0,758780.44
2005-10-05,776654.0,723018.25
2005-10-06,791326.0,744528.6
2005-10-07,819918.0,773509.56
2005-10-08,744945.0,736932.5
2005-10-09,623269.0,696224.75
2005-10-10,699413.0,738226.44
2005-10-11,716635.0,729722.5
2005-10-12,711703.0,732641.7
2005-10-13,716025.0,726927.3
2005-10-14,711874.0,729116.9
2005-10-15,644479.0,671542.44
2005-10-16,610112.0,650013.0
2005-10-17,691310.0,708918.56
2005-10-18,703137.0,699795.0
2005-10-19,704010.0,699184.8
2005-10-20,695256.0,688629.25
2005-10-21,699851.0,695168.7
2005-10-22,652577.0,627898.8
2005-10-23,618625.0,618209.8
2005-10-24,717117.0,708648.3
2005-10-25,742265.0,719683.8
2005-10-26,742261.0,739452.6
2005-10-27,745583.0,741490.1
2005-10-28,735201.0,735547.75
2005-10-29,682912.0,663672.44
2005-10-30,648164.5,648422.75
2005-10-31,715033.0,735663.5
2005-11-01,714200.0,723677.1
2005-11-02,710074.0,701489.25
2005-11-03,723571.0,703703.75
2005-11-04,700487.0,716232.56
2005-11-05,632531.0,657629.6
2005-11-06,614024.0,611902.44
2005-11-07,689747.0,707969.7
2005-11-08,709692.0,697217.5
2005-11-09,715818.0,700502.0
2005-11-10,713087.0,709131.4
2005-11-11,730142.0,702223.1
2005-11-12,675215.0,681487.56
2005-11-13,636292.0,648550.7
2005-11-14,697363.0,728228.25
2005-11-15,720031.0,736016.06
2005-11-16,720872.0,722389.44
2005-11-17,754144.0,703702.4
2005-11-18,795747.0,731724.9
2005-11-19,734244.0,756290.56
2005-11-20,683859.0,694714.1
2005-11-21,760225.0,762331.94
2005-11-22,781541.0,763441.2
2005-11-23,817980.0,758188.0
